epoch,metric,direction,value,evalSet
3.56643,eval_bleu,en-dv,5.7917,valid-small
3.59976,eval_bleu,en-dv,5.8444,valid-small
3.63309,eval_bleu,en-dv,5.8558,valid-small
3.66642,eval_bleu,en-dv,5.8072,valid-small
3.69975,eval_bleu,en-dv,5.7891,valid-small
3.73308,eval_bleu,en-dv,5.8931,valid-small
3.76642,eval_bleu,en-dv,5.7767,valid-small
3.79975,eval_bleu,en-dv,5.745,valid-small
3.83308,eval_bleu,en-dv,5.9157,valid-small
3.86641,eval_bleu,en-dv,5.8857,valid-small
3.89974,eval_bleu,en-dv,5.7823,valid-small
3.93307,eval_bleu,en-dv,5.9835,valid-small
3.9664,eval_bleu,en-dv,5.9234,valid-small
3.99973,eval_bleu,en-dv,5.9235,valid-small
